985306569838661632,,2018-04-14 23:59:27,0,0,b'Nba playoffs\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',[]
985306567833784320,,2018-04-14 23:59:26,0,0,b'John wall worst finisher in NBA?',[]
985306562267942912,Baghdad,2018-04-14 23:59:25,3,0,b'Russell Westbrook is wearing the Air Jordan 29. https://t.co/1z27ajzDMA',[]
985306561093419008,,2018-04-14 23:59:24,0,184,"b'RT @NBA: ""Everything right now!""\n\nJonas Valanciunas is mic\'d up for the @Raptors on @ESPNNBA! #WeTheNorth https://t.co/x3O0uIuwk3'","[{'text': 'WeTheNorth', 'indices': [94, 105]}]"
985306560976048128,Central Time (US & Canada),2018-04-14 23:59:24,1,0,b'They just not gonna call fouls for Wall? He taking all sorts of contact',[]
985306559810101248,Quito,2018-04-14 23:59:24,0,1,"b'RT @ActionNetworkHQ: The Heat and 76ers (-6) tip off in approximately 45 minutes!\n\nThey played four times this season, splitting 2-2, and t\xe2\x80\xa6'",[]
985306549424832512,,2018-04-14 23:59:22,0,0,b'John Wall out there selling ass like a good ole hooker. #NBA',"[{'text': 'NBA', 'indices': [56, 60]}]"
985306548368011264,,2018-04-14 23:59:21,0,5445,"b""RT @el_budget: Had Bron finished this the league would've just had to tell Jerey West and that weak ass dribble move to take a hike because\xe2\x80\xa6""",[]
985306546098851840,,2018-04-14 23:59:21,0,265,b'RT @Marlins: Best of luck to the @MiamiHEAT as they head into the 2018 NBA Playoffs!\n\n#WhiteHot | #JuntosMiami https://t.co/WPGFOV1CSD',"[{'text': 'WhiteHot', 'indices': [86, 95]}, {'text': 'JuntosMiami', 'indices': [98, 110]}]"
985306541501935616,Pacific Time (US & Canada),2018-04-14 23:59:20,0,798,b'RT @NBA: MOOD IN THE SIX! #WeTheNorth https://t.co/YVg0iHozWI',"[{'text': 'WeTheNorth', 'indices': [26, 37]}]"
985306540470079490,,2018-04-14 23:59:20,0,18,"b'RT @BrooklynNets: ICYMI: Three things we learned from the Nets exit interviews, via @LabidouA. https://t.co/Is30P6fwzw'",[]
985306539769511937,,2018-04-14 23:59:19,0,121,"b'RT @NBA: DeMar DeRozan comes up with a strong 3rd quarter effort, scoring 12 PTS for the @Raptors! #WeTheNorth https://t.co/PGWvlR1uPm'","[{'text': 'WeTheNorth', 'indices': [99, 110]}]"
